timestamp,contract_id,station_number,available_bikes,available_bike_stands
1451606404,2,908,0,18
1451606404,2,1010,24,1
1451606404,2,1022,22,15
1451606404,2,4016,43,17
1451606404,2,5001,43,0
1451606404,2,5026,40,7
1451606404,2,5028,2,52
1451606404,2,6001,15,2
1451606404,2,6015,54,0
1451606404,2,7022,52,17
1451606404,2,8020,4,38
1451606404,2,8034,12,22
1451606404,2,8045,29,28
1451606404,2,8055,14,15
1451606404,2,9018,1,33
1451606404,2,10013,8,51
1451606404,2,10032,3,29
1451606404,2,11037,33,0
1451606404,2,11046,17,1
1451606404,2,13018,19,6
1451606404,2,13110,5,17
1451606404,2,14027,3,33
1451606404,2,15024,17,5
1451606404,2,15053,35,10
1451606404,2,15070,15,21
1451606404,2,16008,8,24
1451606404,2,16015,3,12
1451606404,2,16023,7,24
1451606404,2,20041,7,52
1451606404,2,21105,19,5
1451606404,2,21109,9,9
1451606404,3,79,7,12
1451606404,3,82,7,14
1451606404,3,149,9,13
1451606404,3,204,7,11
1451606404,5,1,2,27
1451606404,6,16,19,1
1451606404,6,17,12,17
1451606404,6,33,10,10
1451606404,6,100,13,7
1451606404,6,116,8,6
1451606404,6,129,7,13
1451606404,14,1002,7,13
1451606404,14,2003,6,3
1451606404,14,2015,4,14
1451606404,14,2030,17,5
1451606404,14,3039,11,2
1451606404,14,3053,2,11
1451606404,14,3099,15,3
1451606404,14,3100,12,5
1451606404,14,7033,19,9
1451606404,14,7055,8,6
1451606404,14,8001,19,7
1451606404,14,9022,2,11
1451606404,16,45,3,12
1451606404,16,55,1,13
1451606404,16,121,5,10
1451606404,16,160,11,9
1451606404,16,192,11,8
1451606404,16,196,1,19
1451606404,16,217,2,13
1451606404,16,218,2,12
1451606404,16,250,8,7
1451606404,20,71,3,18
1451606404,20,339,22,0
1451606404,23,14,12,18
1451606404,25,1275,3,4
1451606463,2,908,2,16
1451606463,2,1001,16,0
1451606463,2,1014,23,2
1451606463,2,1020,33,7
