timestamp,contract_id,station_number,available_bikes,available_bike_stands
1452988804,2,1010,24,1
1452988804,2,3004,14,3
1452988804,2,3006,32,2
1452988804,2,3010,18,0
1452988804,2,4020,23,5
1452988804,2,4105,33,2
1452988804,2,5005,1,20
1452988804,2,5034,63,1
1452988804,2,5106,2,17
1452988804,2,6002,17,6
1452988804,2,6003,14,7
1452988804,2,6004,35,9
1452988804,2,6024,23,3
1452988804,2,7013,15,40
1452988804,2,7021,43,7
1452988804,2,7024,4,27
1452988804,2,9003,3,10
1452988804,2,9007,3,17
1452988804,2,10015,37,1
1452988804,2,11029,15,24
1452988804,2,11032,20,28
1452988804,2,11034,18,29
1452988804,2,11105,35,15
1452988804,2,11109,20,3
1452988804,2,13023,2,24
1452988804,2,13025,23,10
1452988804,2,13039,2,14
1452988804,2,13114,1,21
1452988804,2,14009,11,25
1452988804,2,14012,7,17
1452988804,2,14030,2,30
1452988804,2,14033,4,34
1452988804,2,15005,8,34
1452988804,2,15016,4,36
1452988804,2,15021,33,30
1452988804,2,15022,23,16
1452988804,2,15058,12,34
1452988804,2,15069,39,7
1452988804,2,15111,7,16
1452988804,2,15112,7,15
1452988804,2,16033,5,26
1452988804,2,17006,10,12
1452988804,2,17010,32,3
1452988804,2,17045,28,15
1452988804,2,17117,9,21
1452988804,2,18004,3,10
1452988804,2,18020,3,15
1452988804,2,18025,4,35
1452988804,2,19016,4,26
1452988804,2,19046,9,23
1452988804,2,19105,1,16
1452988804,2,20121,1,17
1452988804,2,42015,4,20
1452988804,2,43004,11,14
1452988804,3,23,22,3
1452988804,3,25,2,16
1452988804,3,27,14,8
1452988804,3,59,3,16
1452988804,3,62,11,11
1452988804,3,90,14,11
1452988804,3,116,14,1
1452988804,3,123,3,20
1452988804,3,128,20,2
1452988804,3,149,7,15
1452988804,3,188,3,15
1452988804,5,11,2,28
1452988804,5,60,23,7
1452988804,6,18,2,23
1452988804,6,50,33,7
1452988804,6,78,18,2
1452988804,6,93,13,25
1452988804,6,140,0,20
1452988804,6,249,3,12
1452988804,11,22,3,16
1452988804,13,14,4,14
1452988804,14,1013,8,3
1452988804,14,1020,12,6
1452988804,14,1031,5,15
1452988804,14,2004,6,12
1452988804,14,2016,9,3
1452988804,14,3001,9,31
1452988804,14,3021,7,8
1452988804,14,3086,5,11
1452988804,14,3100,11,6
1452988804,14,5004,13,16
1452988804,14,7001,6,12
1452988804,14,7009,10,6
1452988804,14,7013,13,7
1452988804,14,7018,15,5
1452988804,14,7034,5,10
1452988804,14,7035,27,2
1452988804,14,7038,11,2
1452988804,14,7055,15,1
1452988804,14,8052,0,16
1452988804,14,8060,17,5
1452988804,14,10101,3,31
1452988804,15,31,7,19
1452988804,16,12,21,9
1452988804,16,24,2,13
1452988804,16,31,4,9
1452988804,16,41,12,2
1452988804,16,64,14,1
1452988804,16,82,0,17
1452988804,16,111,5,15
1452988804,16,177,6,11
1452988804,16,204,1,14
1452988804,16,211,11,4
1452988804,16,243,4,11
1452988804,16,245,14,1
1452988804,16,251,2,13
1452988804,20,55,2,23
1452988804,20,81,10,14
1452988804,26,22,0,16
1452988804,26,31,13,3
1452988804,26,75,7,11
1452988804,26,84,13,6
1452988864,2,1002,14,7
1452988864,2,1004,39,3
1452988864,2,2007,24,4
1452988864,2,2012,9,33
1452988864,2,2015,21,10
1452988864,2,3003,28,3
1452988864,2,4011,31,3
1452988864,2,5004,3,16
1452988864,2,5005,2,18
1452988864,2,5012,1,14
