timestamp,contract_id,station_number,available_bikes,available_bike_stands
1453593603,2,1004,7,35
1453593603,2,1012,18,4
1453593603,2,1025,15,3
1453593603,2,2004,13,4
1453593603,2,2010,8,22
1453593603,2,2017,24,16
1453593603,2,3006,33,1
1453593603,2,4009,11,16
1453593603,2,4011,29,7
1453593603,2,4020,23,4
1453593603,2,4101,19,1
1453593603,2,4107,16,0
1453593603,2,5007,29,8
1453593603,2,5015,31,31
1453593603,2,5026,45,1
1453593603,2,6015,53,1
1453593603,2,8005,34,3
1453593603,2,8046,28,2
1453593603,2,9005,2,31
1453593603,2,9015,30,0
1453593603,2,10001,61,1
1453593603,2,10010,31,2
1453593603,2,10024,6,12
1453593603,2,10039,3,20
1453593603,2,10111,18,3
1453593603,2,11011,18,7
1453593603,2,11017,3,43
1453593603,2,11028,3,33
1453593603,2,11036,38,20
1453593603,2,11043,15,6
1453593603,2,12012,16,4
1453593603,2,12014,10,55
1453593603,2,12017,25,14
1453593603,2,12107,6,15
1453593603,2,13025,29,4
1453593603,2,13044,2,34
1453593603,2,14034,0,23
1453593603,2,14116,0,25
1453593603,2,15003,5,60
1453593603,2,15004,4,17
1453593603,2,15005,0,42
1453593603,2,15013,11,40
1453593603,2,15029,53,0
1453593603,2,15035,28,9
1453593603,2,15038,9,57
1453593603,2,15049,4,19
1453593603,2,15111,5,19
1453593603,2,16013,3,31
1453593603,2,17003,20,23
1453593603,2,17102,28,4
1453593603,2,18011,14,21
1453593603,2,19001,9,47
1453593603,2,19005,5,15
1453593603,2,19012,15,45
1453593603,2,19014,13,5
1453593603,2,19114,2,18
1453593603,2,19116,5,22
1453593603,2,19117,20,9
1453593603,2,20030,13,43
1453593603,2,20041,15,44
1453593603,2,20131,13,20
1453593603,2,21107,21,2
1453593603,2,21205,1,25
1453593603,2,21305,24,1
1453593603,2,23002,47,3
1453593603,2,41203,8,43
1453593603,2,43009,20,30
1453593603,3,17,7,16
1453593603,3,32,2,10
1453593603,3,40,6,10
1453593603,3,42,1,19
1453593603,3,71,6,16
1453593603,3,77,13,0
1453593603,3,88,5,19
1453593603,3,101,5,15
1453593603,3,115,11,7
1453593603,3,120,16,2
1453593603,3,127,3,12
1453593603,3,134,0,19
1453593603,3,145,6,14
1453593603,3,171,6,12
1453593603,3,176,7,11
1453593603,3,235,16,3
1453593603,5,2,3,17
1453593603,5,7,6,23
1453593603,5,9,19,5
1453593603,5,34,20,9
1453593603,5,42,28,1
1453593603,5,47,3,37
1453593603,6,7,15,5
1453593603,6,33,18,2
1453593603,6,75,20,5
1453593603,6,88,12,28
1453593603,6,92,15,5
1453593603,6,96,19,2
1453593603,6,136,2,18
1453593603,6,143,2,27
1453593603,6,178,9,11
1453593603,6,203,6,9
1453593603,14,1002,11,10
1453593603,14,1020,15,3
1453593603,14,2005,12,20
1453593603,14,2008,8,10
1453593603,14,2030,15,6
1453593603,14,3005,18,1
1453593603,14,3007,0,29
1453593603,14,3021,7,7
1453593603,14,3029,21,0
1453593603,14,3032,12,4
1453593603,14,3067,11,3
1453593603,14,4001,9,13
1453593603,14,5004,8,19
1453593603,14,7001,13,5
1453593603,14,7023,10,4
1453593603,14,7055,11,5
1453593603,14,7057,13,10
1453593603,14,8035,5,14
1453593603,14,9004,16,5
1453593603,14,9006,15,1
1453593603,14,9043,15,5
1453593603,14,10061,13,5
1453593603,14,10079,6,14
1453593603,14,10111,1,14
1453593603,16,10,0,20
1453593603,16,57,4,10
1453593603,16,75,16,4
1453593603,16,118,18,2
1453593603,16,167,1,19
1453593603,16,168,4,14
1453593603,16,202,3,17
1453593603,16,209,6,9
1453593603,18,3,12,16
1453593603,20,156,3,22
1453593603,20,242,7,17
1453593603,20,342,6,14
1453593603,25,1224,0,16
1453593603,26,6,2,13
1453593603,26,39,1,18
1453593603,26,54,2,28
1453593603,26,62,31,9
1453593603,26,67,13,6
1453593603,26,69,14,1
1453593603,26,87,1,13
1453593603,26,100,11,9
1453593783,1,3,19,4
1453593783,2,904,4,24
1453593783,2,1003,46,4
1453593783,2,1007,12,8
1453593783,2,1024,15,4
1453593783,2,1027,8,13
1453593783,2,1102,8,9
1453593783,2,2001,29,5
1453593783,2,2004,10,7
1453593783,2,2007,18,10
1453593783,2,2010,11,19
1453593783,2,2016,10,11
1453593783,2,2022,19,17
1453593783,2,3004,14,4
1453593783,2,3009,13,5
1453593783,2,3014,24,7
1453593783,2,4007,36,0
1453593783,2,4010,25,1
1453593783,2,4020,21,6
1453593783,2,4101,17,3
1453593783,2,4105,27,9
1453593783,2,5001,30,10
1453593783,2,5003,1,33
1453593783,2,5004,5,14
1453593783,2,5009,15,1
1453593783,2,5019,22,1
1453593783,2,5022,4,13
1453593783,2,5024,0,21
1453593783,2,6004,21,23
1453593783,2,6006,4,12
1453593783,2,6014,15,10
1453593783,2,6028,15,12
1453593783,2,7002,9,26
1453593783,2,7007,47,18
1453593783,2,7014,38,1
1453593783,2,7015,31,16
1453593783,2,7019,32,15
1453593783,2,7103,4,16
1453593783,2,8005,36,1
1453593783,2,8027,11,3
1453593783,2,8057,1,32
1453593783,2,9002,1,14
1453593783,2,9010,18,5
1453593783,2,9016,16,0
1453593783,2,9021,19,2
1453593783,2,10001,60,2
1453593783,2,10004,41,18
1453593783,2,10005,16,1
1453593783,2,10007,14,2
1453593783,2,10008,12,6
1453593783,2,10010,31,1
1453593783,2,10018,4,25
1453593783,2,10023,2,12
1453593783,2,10025,7,8
1453593783,2,10029,1,22
1453593783,2,10034,2,18
1453593783,2,10038,6,22
1453593783,2,10113,9,34
1453593783,2,10115,7,20
1453593783,2,11001,44,9
1453593783,2,11002,23,0
1453593783,2,11007,61,2
1453593783,2,11012,11,22
1453593783,2,11013,20,22
1453593783,2,11017,5,41
1453593783,2,11019,6,26
1453593783,2,11021,3,20
1453593783,2,11029,10,6
1453593783,2,11030,10,12
1453593783,2,11032,35,13
1453593783,2,11033,26,2
1453593783,2,11036,42,16
1453593783,2,11102,27,30
1453593783,2,11104,1,18
1453593783,2,11109,10,13
1453593783,2,11110,1,51
1453593783,2,12002,14,1
1453593783,2,12005,24,6
1453593783,2,12018,3,32
1453593783,2,12020,2,42
1453593783,2,12022,33,0
1453593783,2,12032,17,17
1453593783,2,12033,62,4
1453593783,2,12035,28,5
1453593783,2,12038,6,33
1453593783,2,12107,5,16
1453593783,2,12115,8,25
1453593783,2,13002,10,12
1453593783,2,13005,41,5
1453593783,2,13010,3,36
1453593783,2,13013,20,1
1453593783,2,13022,2,29
1453593783,2,13023,2,24
1453593783,2,13024,7,26
1453593783,2,13025,32,1
1453593783,2,13030,2,38
1453593783,2,13035,2,20
1453593783,2,13048,15,13
1453593783,2,13103,5,45
1453593783,2,14009,8,28
1453593783,2,14013,8,6
1453593783,2,14014,11,49
1453593783,2,14020,1,53
1453593783,2,14021,0,59
1453593783,2,14030,0,33
1453593783,2,14032,2,29
1453593783,2,14103,1,26
1453593783,2,15017,7,14
1453593783,2,15018,12,44
1453593783,2,15019,13,24
1453593783,2,15026,4,28
1453593783,2,15030,5,28
1453593783,2,15032,54,1
1453593783,2,15033,15,26
1453593783,2,15048,1,21
1453593783,2,15063,14,4
1453593783,2,15068,0,20
1453593783,2,15105,22,0
1453593783,2,15113,5,20
1453593783,2,15120,18,11
1453593783,2,15123,4,37
1453593783,2,16017,2,14
1453593783,2,16042,11,45
1453593783,2,16043,1,14
1453593783,2,16101,7,26
1453593783,2,17001,23,19
1453593783,2,17007,20,14
1453593783,2,17012,4,19
1453593783,2,17016,3,18
1453593783,2,17023,21,15
1453593783,2,17024,6,6
1453593783,2,17041,38,1
1453593783,2,18004,0,13
1453593783,2,18030,3,35
1453593783,2,18040,2,21
1453593783,2,18041,4,16
1453593783,2,18042,1,19
1453593783,2,18045,5,11
1453593783,2,18110,9,8
1453593783,2,19002,7,33
1453593783,2,19012,16,44
1453593783,2,19015,6,14
1453593783,2,19016,17,12
1453593783,2,19029,0,17
1453593783,2,19101,0,24
1453593783,2,19116,3,24
1453593783,2,20014,2,31
1453593783,2,20016,3,16
1453593783,2,20030,12,44
1453593783,2,20041,12,47
1453593783,2,20043,1,25
1453593783,2,20106,0,27
1453593783,2,20119,1,24
1453593783,2,21009,40,6
1453593783,2,21107,23,0
1453593783,2,21201,5,17
1453593783,2,21208,5,25
1453593783,2,21209,0,30
1453593783,2,21211,9,28
1453593783,2,23002,49,1
1453593783,2,35006,19,3
1453593783,2,35014,23,2
1453593783,2,41601,24,0
1453593783,2,42007,5,23
1453593783,2,42015,7,18
1453593783,2,42205,19,2
1453593783,2,42705,2,23
1453593783,2,43004,21,4
1453593783,3,10,11,23
1453593783,3,12,5,6
1453593783,3,17,5,18
1453593783,3,20,22,4
1453593783,3,26,19,3
1453593783,3,46,1,19
1453593783,3,56,7,8
1453593783,3,79,5,14
1453593783,3,80,13,10
1453593783,3,92,0,15
1453593783,3,99,3,13
1453593783,3,106,21,0
1453593783,3,107,21,5
1453593783,3,124,2,16
1453593783,3,129,6,10
1453593783,3,138,17,2
1453593783,3,148,10,9
1453593783,3,149,7,15
1453593783,3,194,7,13
1453593783,3,204,8,9
1453593783,3,250,17,1
1453593783,4,38,10,9
1453593783,5,14,20,10
1453593783,5,15,1,15
1453593783,5,18,20,10
1453593783,5,19,14,16
1453593783,5,22,15,5
1453593783,5,27,7,13
1453593783,5,33,20,3
1453593783,5,41,1,19
1453593783,5,74,17,13
1453593783,5,75,5,35
1453593783,6,4,6,19
1453593783,6,8,0,23
1453593783,6,11,22,5
1453593783,6,17,9,21
1453593783,6,21,3,13
1453593783,6,27,1,19
1453593783,6,36,23,2
1453593783,6,46,10,10
1453593783,6,65,1,16
1453593783,6,66,14,11
1453593783,6,69,11,13
1453593783,6,75,19,6
1453593783,6,80,17,8
1453593783,6,89,3,27
1453593783,6,92,17,3
1453593783,6,117,15,15
1453593783,6,119,3,17
1453593783,6,122,7,8
1453593783,6,129,5,15
1453593783,6,178,7,13
1453593783,6,179,11,12
1453593783,6,182,13,8
1453593783,6,196,5,10
1453593783,6,220,5,11
1453593783,14,1002,15,6
1453593783,14,1012,15,4
1453593783,14,1022,22,9
1453593783,14,1031,15,5
1453593783,14,1032,0,21
1453593783,14,2003,6,4
1453593783,14,2004,2,16
1453593783,14,2008,7,11
1453593783,14,2009,19,7
1453593783,14,2017,10,4
1453593783,14,2023,12,7
1453593783,14,2030,12,9
1453593783,14,2037,19,11
1453593783,14,2038,8,8
1453593783,14,2039,7,10
1453593783,14,3005,17,2
1453593783,14,3008,9,9
1453593783,14,3009,20,2
1453593783,14,3010,1,36
1453593783,14,3018,22,8
1453593783,14,3021,6,8
1453593783,14,3029,19,2
1453593783,14,3036,20,15
1453593783,14,3037,18,2
1453593783,14,3038,30,9
1453593783,14,3043,14,2
1453593783,14,3044,16,3
1453593783,14,4012,4,15
1453593783,14,5009,11,5
1453593783,14,6001,1,15
1453593783,14,6004,14,6
1453593783,14,6005,20,0
1453593783,14,6016,11,4
1453593783,14,6022,17,3
1453593783,14,7002,23,5
1453593783,14,7016,13,2
1453593783,14,7018,9,11
1453593783,14,7053,13,4
1453593783,14,7055,15,1
1453593783,14,7056,21,1
1453593783,14,7057,14,9
1453593783,14,7064,12,5
1453593783,14,8006,5,15
1453593783,14,8009,2,18
1453593783,14,8035,2,17
1453593783,14,8039,7,13
1453593783,14,9042,0,18
1453593783,14,9043,13,7
1453593783,14,9044,12,4
1453593783,14,10001,13,16
1453593783,14,10021,9,10
1453593783,14,10025,14,6
1453593783,14,10046,16,7
1453593783,14,10088,8,11
1453593783,14,10117,22,0
1453593783,14,10120,12,4
1453593783,15,26,2,15
1453593783,15,30,10,11
1453593783,16,22,4,15
1453593783,16,27,5,12
1453593783,16,40,0,30
1453593783,16,44,9,5
1453593783,16,45,3,12
1453593783,16,49,13,7
1453593783,16,51,19,1
1453593783,16,54,13,2
1453593783,16,57,2,12
1453593783,16,58,17,0
1453593783,16,85,6,12
1453593783,16,97,14,5
1453593783,16,158,5,15
1453593783,16,168,2,16
1453593783,16,170,3,15
1453593783,16,172,14,6
1453593783,16,185,7,13
1453593783,16,209,7,8
1453593783,16,247,17,11
1453593783,20,21,22,15
1453593783,20,32,24,10
1453593783,20,41,3,21
1453593783,20,49,15,9
1453593783,20,69,2,26
1453593783,20,95,14,11
1453593783,20,107,10,15
1453593783,20,181,9,13
1453593783,20,348,11,12
1453593783,25,1006,8,2
1453593783,25,1228,0,14
1453593783,25,5104,5,5
1453593783,25,6020,14,1
1453593783,25,6023,5,15
1453593783,25,6254,9,5
1453593783,25,7027,4,10
1453593783,25,7151,6,10
1453593783,25,8134,15,6
1453593783,26,21,15,1
1453593783,26,61,7,8
1453593783,26,66,6,9
1453593783,26,67,15,4
1453593783,26,87,3,11
1453593783,26,100,9,11
1453593844,2,904,4,25
1453593844,2,1024,14,6
1453593844,2,2005,5,10
1453593844,2,2015,5,26
1453593844,2,4001,27,5
1453593844,2,4010,22,4
1453593844,2,4011,30,6
1453593844,2,4017,9,5
1453593844,2,5005,3,17
1453593844,2,5007,28,9
1453593844,2,8004,61,3
1453593844,2,8040,5,27
1453593844,2,9005,1,32
1453593844,2,9019,10,8
