contract_id;station_number;status;bike_stands;bonus;banking;latitude;longitude;address;station_name
14;8029;1;20;0;1;45.732366;4.865101;81 BVD DES Etats-Unis;8029 - ETATS UNIS LEVIGNE
14;8030;1;16;0;1;45.741425;4.879733;Angle rue Nungesser et Coli;8030 - LA√ãNNEC
14;8034;1;13;0;1;45.738301;4.862727;Angle avenue Berthelot;8034 - BERTHELOT / VILLON
14;8035;1;20;0;1;45.747251;4.865386;54 COURS ALBERT THOMAS;8035 - SANS SOUCI
14;8037;1;19;0;1;45.734027;4.862906;Rue Paul Cazeneuve - Angle du boulevard des Etats-Unis;8037 - CAZENEUVE
14;8038;1;20;0;1;45.746691;4.867501;Angle rue Villon;8038 - ALBERT THOMAS / VILLON
14;8039;1;20;0;1;45.738617;4.852412;97 ROUTE DE VIENNE;8039 - PIERRE DELORE
14;8040;1;24;0;1;45.736289;4.883667;Face au 54 Boulevard Ambroise ParÈ;8040 - AMBROISE PAR…
14;8041;1;20;0;1;45.724775;4.870745;170 Boulevard des Etats-Unis, Angle Avenue Viviani, direction Venissieux;8041 - ETATS UNIS / VIVIANI
14;8042;1;22;0;1;45.731361;4.860139;73 RUE CAZENEUVE;8042 - FRANCIS DE PRESSENS…
14;8051;1;20;0;1;45.724172;4.854165;303 ROUTE DE VIENNE (VENISSIEUX);8051 - H‘PITAL ST JEAN DE DIEU
14;8052;1;16;0;1;45.747032;4.859612;2 AV. DES FRERES LUMIERE;8052 - CLINIQUE MONPLAISIR
14;8053;1;16;0;1;45.743569;4.870083;6 RUE ANTOINE LUMIERE;8053 - LUMIERE / TROUILHET
14;8054;1;20;0;1;45.740865;4.868244;34 RUE ANTOINE LUMIERE;8054 - MARTINIERE MONPLAISIR
14;8056;1;20;0;1;45.73586;4.856888;69 RUE AUDIBERT ET LAVIROTTE;8056 - DELORE / AUDIBERT ET LAVIROTTE
14;8057;1;20;0;1;45.732483;4.853406;184 ROUTE DE VIENNE;8057 - VIENNE / MONTAGNY
14;8058;1;16;0;1;45.738671;4.878117;10 RUE PDT P. KRUGER;8058 - LONGEFER / KRUGER
14;8059;1;18;0;1;45.735375;4.88954;173 BVD PINEL (BRON);8059 - LAENNEC / PINEL
14;8060;0;22;0;1;45.731716;4.874231;9 RUE PIERRE VERGER;8060 - SANTY / BEAUVISAGE
14;8061;1;18;0;1;45.725403;4.881292;164 AV. PAUL SANTY;8061 - STADE VUILLERMET
14;9002;1;22;0;1;45.774241;4.805676;Prox. mÈtro Valmy;9002 - MAIRIE DU 9Ë
14;9003;1;16;0;1;45.775679;4.805314;Rue Roquette / angle rue de Bourgogne;9003 - PLACE VALMY
14;9004;1;22;0;1;45.779786;4.804666;Face entrÈe de la gare;9004 - GARE DE VAISE
14;9006;1;16;0;1;45.777287;4.803297;Rue Tissot / angle rue de Bourgogne;9006 - TH…√ÇTRE NOUVELLE G…N…RATION
14;9008;1;16;0;1;45.797415;4.829038;3 QUAI PAUL SEDAILLAN;9008 - L'ILE BARBE
14;9010;1;19;0;1;45.771034;4.79644;37 AV. SIDOINE APOLLINAIRE;9010 - PISCINE DE VAISE
14;9011;1;19;0;1;45.769803;4.812681;Quai Chauveau / angle Pont Koenig;9011 - CONSERVATOIRE
14;9013;1;20;0;1;45.787522;4.814418;Angle rue de la Navigation;9013 - QUAI PAUL S…DALLIAN
14;9014;1;23;0;1;45.784334;4.812215;Angle rue Emile Duport;9014 - QUAI DU COMMERCE
14;9020;1;12;0;1;45.773468;4.800286;Angle rue Horand / rue Masset;9020 - BOURBONNAIS
14;9022;1;13;0;1;45.778639;4.8071;Angle rue Chinard/rue St Cyr;9022 - RUE MASARYK / SAINT CYR
