timestamp,contract_id,station_number,available_bikes,available_bike_stands
1451692803,2,2022,7,28
1451692803,2,8103,22,1
1451692803,2,10015,11,34
1451692803,2,11029,2,38
1451692803,2,11042,20,22
1451692803,2,12032,32,3
1451692803,2,14016,5,48
1451692803,2,15032,52,3
1451692803,2,17117,12,17
1451692803,2,18011,6,28
1451692803,2,18103,18,3
1451692803,2,19015,8,13
1451692803,2,21304,20,0
1451692803,2,34002,13,13
1451692803,3,56,4,11
1451692803,5,11,4,26
1451692803,6,9,6,19
1451692803,6,24,3,17
1451692803,6,31,7,12
1451692803,6,59,10,4
1451692803,6,64,13,7
1451692803,6,69,4,21
1451692803,6,84,9,6
1451692803,6,88,4,36
1451692803,6,127,8,12
1451692803,6,128,1,24
1451692803,14,3037,18,2
1451692803,14,3101,13,3
1451692803,14,7009,12,4
1451692803,14,9004,19,1
1451692803,16,110,1,19
1451692803,25,3320,11,4
1451692863,2,6003,16,5
1451692863,2,8020,3,39
1451692863,2,11006,34,1
1451692863,2,11042,23,19
1451692863,2,11105,7,42
1451692863,2,13055,56,5
1451692863,2,14016,3,50
1451692863,2,17012,4,19
1451692863,2,17022,23,21
1451692863,2,17115,11,16
1451692863,2,18011,9,25
1451692863,2,23011,17,8
1451692863,2,42007,6,22
1451692863,3,56,2,13
1451692863,5,88,11,19
1451692863,6,7,7,13
1451692863,6,55,12,12
1451692863,6,59,8,6
1451692863,6,65,9,10
1451692863,6,66,11,14
1451692863,6,178,13,7
1451692863,6,217,15,10
1451692863,6,273,5,10
1451692863,6,275,11,9
1451692863,14,1021,2,9
1451692863,14,2008,11,6
1451692863,14,3015,6,11
1451692863,14,6020,12,3
1451692863,14,7014,6,9
1451692863,14,7064,8,9
1451692863,14,8010,15,5
1451692863,14,9043,17,2
1451692863,14,10011,6,8
1451692863,14,10025,2,18
1451692863,26,7,12,3
1451692924,2,5018,26,11
1451692924,2,7019,39,7
1451692924,2,7023,51,5
1451692924,2,7024,28,3
1451692924,2,11032,2,46
1451692924,2,12012,20,1
1451692924,2,13021,39,7
1451692924,2,13052,15,27
1451692924,2,16024,17,5
1451692924,2,18009,0,22
1451692924,2,18022,4,43
1451692924,2,18029,5,33
1451692924,2,20023,1,14
1451692924,2,41203,6,44
1451692924,3,198,1,19
1451692924,6,7,9,11
1451692924,6,65,11,8
1451692924,6,78,10,10
1451692924,6,121,9,6
1451692924,6,156,12,3
1451692924,6,231,4,11
1451692924,6,248,15,5
1451692924,14,1016,4,13
1451692924,14,3015,3,14
1451692924,14,10080,15,2
1451692924,16,98,27,3
1451692924,21,50008,7,10
1451692924,26,7,10,5
1451692983,2,1005,27,6
1451692983,2,8053,13,24
1451692983,2,10027,2,17
1451692983,2,11030,7,15
1451692983,2,11037,9,25
1451692983,2,11038,41,3
1451692983,2,12013,3,13
1451692983,2,12032,33,2
1451692983,2,17037,20,1
1451692983,2,22406,6,17
1451692983,3,39,3,16
1451692983,5,12,16,4
1451692983,5,24,17,2
1451692983,5,60,12,18
1451692983,5,72,7,24
1451692983,6,22,1,14
1451692983,6,38,2,18
1451692983,6,132,9,6
1451692983,6,164,10,7
1451692983,6,174,6,13
1451692983,6,265,2,13
1451692983,14,3001,2,38
1451692983,14,8010,16,4
1451692983,14,10046,12,9
1451692983,16,16,11,9
1451692983,16,17,9,11
1451693043,2,5015,13,49
1451693043,2,6003,17,4
